,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,entity_type,external_id,filter_key
4,"Shepherd, Dean A.",T,HCP,https://openalex.org/A5011084627,authors/A5011084627,Dean A. Shepherd,"University of Notre Dame, USA",55436,489,author,https://orcid.org/0000-0003-4269-1826,authorships.author.id
6,"Acemoglu, Daron",C,Nobel Prize,https://openalex.org/A5018452472,authors/A5018452472,Daron Acemoglu Woodford,,4,7,author,,authorships.author.id
5,"List, John A.",C,R._K._Cho_Economics_Prize,https://openalex.org/A5083530241,authors/A5083530241,John A. List,"University of Chicago, USA",45640,887,author,https://orcid.org/0000-0002-1740-3848,authorships.author.id
0,"Gubareva, Mariya",T,HCP,https://openalex.org/A5036032433,authors/A5036032433,Mariya Gubareva,"University of Lisbon, Portugal",3179,114,author,https://orcid.org/0000-0001-6829-7021,authorships.author.id
1,"Demir, Ender",T,HCP,https://openalex.org/A5078880859,authors/A5078880859,Ender Demir,"Reykjavík University, Iceland",8308,199,author,https://orcid.org/0000-0003-4034-269X,authorships.author.id
1,"Kumar, V.",T,HVP,https://openalex.org/A5102961473,authors/A5102961473,V. Kumar,"MetroHealth, USA",19691,163,author,,authorships.author.id
0,"Karim, Sitara",T,HCP,https://openalex.org/A5035670625,authors/A5035670625,Sitara Karim,"University of Nottingham Malaysia Campus, Malaysia",5546,142,author,https://orcid.org/0000-0001-5086-6230,authorships.author.id
7,"Boubaker, Sabri",T,HCP,https://openalex.org/A5081676508,authors/A5081676508,Sabri Boubaker,"Vietnam National University, Hanoi, Viet Nam",10719,360,author,https://orcid.org/0000-0002-6416-2952,authorships.author.id
1,"Yarovaya, Larisa",T,HCP,https://openalex.org/A5052979321,authors/A5052979321,Larisa Yarovaya,"Anglia Ruskin University, UK",11979,163,author,https://orcid.org/0000-0002-9638-2917,authorships.author.id
5,"Zhang, Dongyang",T,HCP,https://openalex.org/A5100716670,authors/A5100716670,Dongyang Zhang,"Hubei University of Medicine, China",5970,188,author,https://orcid.org/0000-0002-3565-6291,authorships.author.id
0,"Aguinis, Herman",T,HCP,https://openalex.org/A5067660877,authors/A5067660877,Herman Aguinis,"George Washington University, USA",39062,353,author,https://orcid.org/0000-0002-3485-9484,authorships.author.id
1,"Mirza, Nawazish",T,HCP,https://openalex.org/A5030355028,authors/A5030355028,Nawazish Mirza,"Excelia Business School, France",8385,220,author,https://orcid.org/0000-0003-4265-9519,authorships.author.id
1,"Bouncken, Ricarda B.",T,HCP,https://openalex.org/A5023850919,authors/A5023850919,Ricarda B. Bouncken,"University of Bayreuth, Germany",10259,333,author,https://orcid.org/0000-0003-0510-7491,authorships.author.id
3,"Ren, Xiaohang",T,HCP,https://openalex.org/A5077214780,authors/A5077214780,Xiaohang Ren,"Central South University, China",9409,212,author,https://orcid.org/0000-0002-9097-580X,authorships.author.id
