unit_idx,unit_type,name,issn,field_eb,country_code,a_p,v_EBAX,rank_EBAX,v_E,rank_E,v_B,rank_B,v_A,rank_A,v_X,rank_X,v_eps1,rank_eps1,ext_balance
188742231,source,International Journal of Innovation Science,1757-2223,B,,217,0.252463,993,,580,0.259437,513,,127,,54,0.64666,556,0.127123
4394736890,source,International Real Estate Review,2154-8919,E,,31,0.251427,994,0.194438,410,,779,,127,,54,0.120775,1356,-0.0714286
21491767,institution,Aix-Marseille Université,,,FR,174.212,0.633866,994,0.805723,536,0.477714,1249,0.283167,1265,0.221275,1450,0.613332,1623,0.476347
101163346,source,International Journal of Strategic Property Management,1648-715X,B,,147,0.251383,995,,580,0.258365,515,,127,,54,0.397274,885,-0.287607
161321875,institution,University of Beira Interior,,,PT,276.673,0.631794,995,0.673518,676,0.596757,1054,0.820358,646,1.06609,654,1.30476,430,0.256663
2737296559,source,Economies,2227-7099,E,,1024,0.250189,996,0.225158,385,,779,,127,,54,0.634774,570,-0.1408
204512498,institution,University of Macau,,,MO,333.373,0.631503,996,0.35685,1250,0.82332,767,0.862653,611,0.360344,1334,0.773391,1329,0.141724
929597975,institution,National University of Sciences and Technology,,,PK,138.922,0.631406,997,0.320555,1350,0.523007,1162,2.76302,115,1.82864,151,1.22721,504,0.262606
49131624,source,International Journal of Social Economics,0306-8293,E,,431,0.248003,997,0.192344,412,,779,,127,,54,0.47862,764,-0.00795756
130692619,institution,Bern University of Applied Sciences,,,CH,37.6156,0.631033,998,0.318339,1358,0.792544,792,0.176801,1439,0.63047,1048,0.718562,1423,0.18536
126160977,source,Mathematical Methods of Operations Research,1432-2994,X,,150,0.247504,998,,580,,779,,127,0.196021,18,0.183028,1225,0.257426
112862951,institution,University of Messina,,,IT,120.261,0.629735,999,0.617204,761,0.479896,1245,1.3481,325,1.69672,196,0.972772,901,0.171334
156260212,source,Research in Economics,1090-9443,E,,130,0.247374,999,0.220734,388,,779,,127,,54,0.216756,1177,-0.0603175
4921948,institution,Pusan National University,,,KR,167.821,0.629289,1000,0.641339,718,0.693138,916,0.621584,828,1.08919,631,0.940326,972,0.461682
28822639,source,Computational Management Science,1619-697X,X,,141,0.246117,1000,,580,,779,,127,0.157371,25,0.205014,1193,0.105263
919208787,institution,Louisiana Tech University,,,US,70.5444,0.629083,1001,0.17773,1696,0.751386,839,0.138776,1500,0.777838,919,0.813867,1244,0.549061
2765038058,source,Human Systems Management,0167-2533,B,,238,0.245533,1001,,580,0.2452,526,,127,,54,0.365382,933,-0.384692
4210219434,source,South African Journal of Accounting Research,1029-1954,B,,62,0.244788,1002,,580,0.23709,530,,127,,54,0.426444,838,0.216667
170164250,institution,Elon University,,,US,59.2595,0.628946,1002,0.329265,1314,0.741948,854,0.327285,1199,,1658,0.512096,1762,0.508108
1327237609,institution,Ministry of Education of the People's Republic of China,,,CN,41.9565,0.628121,1003,0.297557,1408,0.44265,1295,0.116814,1548,1.49664,297,1.27443,457,-0.0231815
2765075218,source,Cogent Economics & Finance,2332-2039,E,,1060,0.243965,1003,0.216908,392,,779,,127,,54,0.551048,671,-0.046752
115752224,institution,University of Insubria,,,IT,68.9521,0.627838,1004,0.368836,1231,0.770906,819,1.3985,311,1.12593,593,0.919693,1022,0.269565
60370010,source,Journal of the Knowledge Economy,1868-7865,E,,1258,0.24353,1004,0.266841,364,,779,,127,,54,0.426067,840,-0.379341
4210175221,source,Asia-Pacific Journal of Regional Science,2509-7946,E,,149,0.243529,1005,0.234909,380,,779,,127,,54,0.374925,921,-0.238176
3131870445,institution,Woxsen School of Business,,,IN,41.1323,0.627596,1005,0.789804,549,0.493248,1221,1.07822,447,1.49556,300,1.18442,565,-0.0522368
39333907,institution,Yanshan University,,,CN,72.2842,0.627144,1006,0.41103,1125,0.737245,859,0.338023,1185,1.05132,669,1.24692,487,0.221119
4210179146,source,Business Strategy & Development,2572-3170,B,,300,0.242585,1006,,580,0.254267,517,,127,,54,0.384241,903,-0.450869
182534213,institution,Universidade do Porto,,,PT,380.55,0.626975,1007,0.452339,1042,0.768914,823,0.33713,1187,1.18584,524,0.960563,931,0.4726
109960688,source,Journal of Human Resources in Hospitality & Tourism,1533-2845,B,,114,0.242404,1007,,580,0.242555,527,,127,,54,0.438486,814,-0.0445247
170913539,source,Bulletin of Economic Research,0307-3378,E,,208,0.241287,1008,0.225425,384,,779,,127,,54,0.216404,1179,0.175439
138801177,institution,University of Ulster,,,GB,109.241,0.626014,1008,0.540217,868,0.585582,1067,0.739591,716,1.44219,337,0.768703,1336,0.396571
149146142,source,International Journal of Innovation and Technology Management,0219-8770,B,,267,0.240856,1009,,580,0.247762,522,,127,,54,0.352176,952,-0.274452
55741626,institution,Technical University of Crete,,,GR,57.919,0.625134,1009,0.536169,875,0.51157,1184,0.48587,968,2.1451,88,1.12363,647,0.0310651
67009956,institution,Iran University of Science and Technology,,,IR,159.666,0.624938,1010,0.275012,1467,0.436398,1313,0.129889,1520,1.88006,141,1.09338,692,0.179678
2764802715,source,Competition and Regulation in Network Industries,1783-5917,X,,51,0.239843,1010,,580,,779,,127,0.170968,20,0.174122,1242,-0.307692
50441567,institution,Universitat de les Illes Balears,,,ES,96.7417,0.624584,1011,0.618278,756,0.612301,1017,1.30789,334,,1658,0.633978,1589,0.0626866
4210182043,source,Arthaniti-Journal of Economic Theory and Practice,0976-7479,E,,40,0.239841,1011,0.185165,423,,779,,127,,54,0.193186,1211,0.025641
4210150398,institution,Hunan University of Finance and Economics,,,CN,98.5663,0.62424,1012,0.548513,860,0.401777,1371,0.825899,643,4.13765,10,0.775213,1325,0.303238
94967567,source,European Company and Financial Law Review,1613-2548,A,,101,0.2361,1012,,580,,779,0.0398873,105,,54,0.17388,1243,0.639344
3129629310,institution,Ho Chi Minh University of Banking,,,VN,182.476,0.623112,1013,0.649433,705,0.436984,1310,1.05117,466,0.026531,1644,1.34264,388,0.513292
945769174,source,Revue d économie politique,0373-2630,E,,83,0.235893,1013,0.237869,377,,779,,127,,54,0.119112,1359,-0.13253
108158533,source,Journal of Quality Assurance in Hospitality & Tourism,1528-008X,B,,298,0.235687,1014,,580,0.236023,531,,127,,54,0.431243,825,-0.295526
88060688,institution,Universidad Politécnica de Madrid,,,ES,144.163,0.622708,1014,0.324595,1333,0.542615,1131,0.900518,579,1.54495,270,1.13175,637,0.186862
62126747,source,The Singapore Economic Review,0217-5908,E,,531,0.235315,1015,0.227716,383,,779,,127,,54,0.289922,1051,-0.113626
4210130704,institution,University of Michigan–Dearborn,,,US,47.185,0.622455,1015,0.324247,1334,0.729154,869,1.89219,199,,1658,0.530046,1746,0.310195
151201029,institution,Consejo Nacional de Investigaciones Científicas y Técnicas,,,AR,109.414,0.622241,1016,0.502349,939,1.03332,564,0.875063,602,0.244721,1430,0.582054,1675,0.5412
130757258,source,International Game Theory Review,0219-1989,A,,115,0.234729,1016,,580,,779,0.118598,74,,54,0.140499,1314,-0.286822
63525965,institution,Western Sydney University,,,AU,217.518,0.620916,1017,0.303182,1399,0.663535,947,0.943625,550,1.34473,401,1.10732,669,0.45296
4210229507,source,EconomiA,1517-7580,E,,66,0.234594,1017,0.25268,372,,779,,127,,54,0.387558,901,-0.0150754
2764865913,source,Economics and Business Letters,2254-4380,E,,136,0.234305,1018,0.199736,407,,779,,127,,54,0.315389,1012,0.283276
35928602,institution,Kyung Hee University,,,KR,266.636,0.620728,1018,0.238788,1546,0.926774,665,0.3641,1145,1.23835,484,1.05514,756,0.239445
185940356,institution,Soochow University,,,TW,96.073,0.620567,1019,0.318705,1356,0.508437,1190,1.38454,316,3.6292,19,0.952712,945,0.294754
2765036513,source,Australasian Accounting Business and Finance Journal,1834-2000,B,,199,0.232839,1019,,580,0.235497,533,,127,,54,0.570216,640,0.584229
