,Name,Group,Class,id,short_id,display_name,hint,cited_by_count,works_count,external_id
4,"Jiang, Hao",C,SFI BEST PAPER AWARD,https://openalex.org/A5029561912,authors/A5029561912,Hao Jiang,"Beijing Solar Energy Research Institute, China",5310.0,261.0,https://orcid.org/0000-0001-9853-3398
1,"Asher, Sam",C,ERC,https://openalex.org/A5001234997,authors/A5001234997,Sam Asher,"Imperial College London, UK",1440.0,184.0,https://orcid.org/0000-0002-2584-8011
0,"Taylor, Lucian A.",C,Moskowitz Prize,https://openalex.org/A5112890565,authors/A5112890565,Lucian A. Taylor,"University of Pennsylvania, USA",6108.0,47.0,
2,"Muir, Tyler",C,Fischer Black Prize,https://openalex.org/A5079166372,authors/A5079166372,Tobias Adrian,"International Monetary Fund, USA",13695.0,269.0,https://orcid.org/0000-0001-9379-9592
0,"Svensson, Jakob",C,ERC,https://openalex.org/A5041015513,authors/A5041015513,Jakob Svensson,"Central University of Haryana, India",18965.0,347.0,https://orcid.org/0000-0002-5097-6218
0,"Haddad, Valentin",C,SFI BEST PAPER AWARD,https://openalex.org/A5010670396,authors/A5010670396,Valentin Haddad,"Anderson University - South Carolina, USA",1441.0,53.0,
0,"Bouvard, Matthieu",C,SFI BEST PAPER AWARD,https://openalex.org/A5069404997,authors/A5069404997,Matthieu Bouvard,"Toulouse School of Economics, France",804.0,35.0,
0,"Farboodi, Maryan",C,SFI BEST PAPER AWARD,https://openalex.org/A5075384062,authors/A5075384062,Maryam Farboodi,"National Bureau of Economic Research, USA",1925.0,66.0,https://orcid.org/0000-0001-7066-5268
0,"Krueger, Philipp",T,HCP,https://openalex.org/A5112866317,authors/A5112866317,Philipp Krueger,"Swiss Finance Institute, Switzerland",5415.0,40.0,
1,"Hombert, Johan",C,ERC,https://openalex.org/A5058898111,authors/A5058898111,Adrien Matray,"National Bureau of Economic Research, USA",2536.0,57.0,
0,"Rabin, Matthew",C,John Von Neumann Award,https://openalex.org/A5112459695,authors/A5112459695,Matthew Rabin,"Harvard University Press, USA",36275.0,160.0,
0,"Hjort, Jonas",C,ERC,https://openalex.org/A5022127778,authors/A5022127778,Jonas Hjort,"Statistics Norway, Norway",1846.0,59.0,https://orcid.org/0009-0005-9466-3925
