source_idx,source_name,era_journal_name,harzing_journal_name,wos_journal_name,n_refs,n_exogenous,frac_exogenous
35246616,International Review of Finance,International Review of Finance,International Review of Finance,International Review of Finance,19993,5782,0.2892
142725411,Journal of Contemporary Accounting & Economics,Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting & Economics,19482,5647,0.2899
157946625,Financial Management,Financial Management,Financial Management,FINANCIAL MANAGEMENT,28898,8407,0.2909
150848784,Journal of Emerging Market Finance,Journal of Emerging Market Finance,,Journal of Emerging Market Finance,9296,2719,0.2925
152372256,International Journal of Auditing,International Journal of Auditing,International Journal of Auditing,INTERNATIONAL JOURNAL OF AUDITING,22091,6487,0.2936
118119388,Journal of Family Business Strategy,Journal of Family Business Strategy,,Journal of Family Business Strategy,39525,11620,0.294
4210219052,Journal of Financial Management Markets and Institutions,"Journal of Financial Management, Markets and Institutions",,,2958,875,0.2958
2913545599,Spanish Journal of Finance and Accounting / Revista Española de Financiación y Contabilidad,Spanish Journal of Finance and Accounting,,Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,18792,5604,0.2982
99789271,The Journal of Fixed Income,The Journal of Fixed Income,Journal of Fixed Income,,6923,2065,0.2983
11853582,Review of Accounting Studies,Review of Accounting Studies,Review of Accounting Studies,REVIEW OF ACCOUNTING STUDIES,39760,11866,0.2984
127646213,Journal of Financial Markets,Journal of Financial Markets,Journal of Financial Markets,JOURNAL OF FINANCIAL MARKETS,24033,7178,0.2987
127482291,Journal of Research in Marketing and Entrepreneurship,Journal of Research in Marketing and Entrepreneurship,,Journal of Research in Marketing and Entrepreneurship,15847,4738,0.299
2764693879,Journal of the Asian Real Estate Society,International Real Estate Review,,International Real Estate Review,2013,603,0.2996
29049940,Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,Pacific Basin Finance Journal,Pacific-Basin Finance Journal,104549,31357,0.2999
164321952,International Journal of Operations & Production Management,International Journal of Operations and Production Management,International Journal of Operations and Production Manag,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,87128,26270,0.3015
4210169731,Journal of Accounting in Emerging Economies,Journal of Accounting in Emerging Economies,,Journal of Accounting in Emerging Economies,24539,7404,0.3017
2911964755,Journal of applied finance,"Journal of Applied Finance: theory, practice, education",,,179,54,0.3017
131852005,European Financial Management,European Financial Management,European Financial Management,European Financial Management,33993,10316,0.3035
173177581,International Journal of Accounting and Finance,International Journal of Accounting and Finance,,,1725,524,0.3038
