,Research_Profile,author_id,works_count,display_name,ACR,PUB,CIT,HCP,sum,coc,score,Group,Class
37,"He, Zhiguo",https://openalex.org/A5050154269,224,Zhiguo He,S02,21,1794,3,2757.513470937396,131.3101652827332,63.8,C,SFI BEST PAPER AWARD
38,"Hanson, Gordon",https://openalex.org/A5031353967,327,Gordon Hanson,H11,16,2268,4,2073.563755533356,129.5977347208347,63.4,C,NBER and SLI fellow
39,"Eeckhout, Jan",https://openalex.org/A5043222365,119,Jan Eeckhout,D02,14,859,1,1763.648803797591,125.9749145569708,62.5,C,ERC
40,"Mitman, Kurt",https://openalex.org/A5087954992,85,Kurt Mitman,A79,10,374,0,1237.023753455156,123.7023753455156,62.0,C,ERC
41,"Card, David",https://openalex.org/A5090324651,689,David Card,A09,25,1567,3,3049.699138411033,121.9879655364413,61.5,C,Nobel Prize
42,"Giglio, Stefano",https://openalex.org/A5013077462,144,Stefano Giglio,MP1,24,2439,4,2918.312381819015,121.5963492424589,61.4,C,Moskowitz Prize
43,"Philippon, Thomas",https://openalex.org/A5109486762,152,Thomas Philippon,A57,20,1889,1,2420.563218568931,121.0281609284466,61.3,C,German_Bernacer_Prize
44,"Pastor, Lubos",https://openalex.org/A5078912696,149,Ľuboš Pástor,MP5,11,1199,3,1324.071553535909,120.3701412305371,61.1,C,Moskowitz Prize
45,"Yogo, Motohiro",https://openalex.org/A5048794076,138,Motohiro Yogo,S18,14,627,0,1684.189761063936,120.299268647424,61.1,C,SFI BEST PAPER AWARD
46,"Burgess, Robin",https://openalex.org/A5037028831,232,Robin Burgess‐Limerick,A92,10,857,1,1195.605558336386,119.5605558336386,60.9,C,ERC
47,"Restrepo, Pascual",https://openalex.org/A5011062401,106,Pascual Restrepo,D03,17,5346,8,1997.525764615662,117.5015155656272,60.4,C,Nobel Prize major coauthor
48,"Itskhoki, Oleg",https://openalex.org/A5088518091,123,Oleg Itskhoki,A34,11,567,0,1287.014821112221,117.0013473738383,60.3,C,John_Bates_Clark_Medal
49,"Koijen, Ralph S. J.",https://openalex.org/A5083877502,190,Ralph S. J. Koijen,A64,20,936,0,2336.090594073427,116.8045297036713,60.2,C,German_Bernacer_Prize
50,"Krishnamurthy, Arvin",,0,,S17,16,624,0,1824.850795097403,114.0531746935877,59.5,C,SFI BEST PAPER AWARD
51,"Smith, Wendy K.",https://openalex.org/A5110746760,120,Wendy K. Smith,B20,12,2180,3,1353.613802807193,112.8011502339327,59.2,T,HCP
52,"Marquis, Christopher",https://openalex.org/A5018951614,205,Christopher Marquis,B14,11,1663,3,1222.475666796537,111.1341515269579,58.7,C,Several book and paper awards
53,"Andrews, Isaiah",https://openalex.org/A5114167505,90,Isaiah Andrews,A33,19,950,2,2089.120991945277,109.9537364181725,58.4,C,John_Bates_Clark_Medal
54,"Malmendier, Ulrike",https://openalex.org/A5051751338,191,Ulrike Malmendier,A89,21,1322,1,2307.236578529249,109.8684085013928,58.4,C,Fischer Black Prize
55,"Bansal, Pratima",https://openalex.org/A5046485145,142,Pratima Bansal,Y48,15,2664,5,1622.619513833666,108.1746342555777,57.9,T,HCP
56,"Hartzmark, Samuel M.",https://openalex.org/A5061802063,45,Samuel M. Hartzmark,MP7,10,890,1,1072.137118976579,107.2137118976579,57.7,C,Moskowitz Prize
57,"Ioannou, Ioannis",https://openalex.org/A5031570888,204,Ioannis Ioannou,Z96,7,923,3,747.3024022444222,106.7574860349174,57.6,T,HCP
58,"Acemoglu, Daron",https://openalex.org/A5018452472,7,Daron Acemoglu Woodford,A01,63,10018,14,6680.220141319513,106.035240338405,57.4,C,Nobel Prize
59,"Banerjee, Abhijit",https://openalex.org/A5048028100,1371,Abhijit Banerjee,A10,28,2735,4,2939.199556306749,104.9714127252411,57.1,C,Nobel Prize
60,"Stroebel, Johannes",https://openalex.org/A5062207917,185,Johannes Ströbel,A28,23,2085,4,2411.340301678599,104.8408826816782,57.0,C,Fischer Black Prize
61,"Kuchler, Theresa",https://openalex.org/A5006578976,97,Theresa Kuchler,MP3,15,1355,2,1553.726881943612,103.5817921295741,56.7,C,Moskowitz Prize
62,"Van Nieuwerburgh, Stijn",https://openalex.org/A5064406662,253,Stijn Van Nieuwerburgh,A59,33,1496,0,3382.360345369631,102.495768041504,56.4,C,German_Bernacer_Prize
63,"Greenstone, Michael",https://openalex.org/A5077574905,445,Michael Greenstone,H04,21,3376,8,2140.50152242008,101.9286439247657,56.2,C,Andrew Carnegie Fellow Award
64,"Wooldridge, Jeffrey M.",https://openalex.org/A5084771969,230,Jeffrey M. Wooldridge,Y43,24,3496,5,2429.442311522921,101.2267629801217,56.0,T,HCP
65,"Zucman, Gabriel",https://openalex.org/A5090091703,189,Gabriel Zucman,A35,20,1381,4,2003.815505949606,100.1907752974803,55.8,C,German_Bernacer_Prize
66,"Hombert, Johan",https://openalex.org/A5089604953,63,Johan Hombert,A100,8,463,0,800.2939319733043,100.036741496663,55.7,C,ERC
67,"Cantoni, Davide",https://openalex.org/A5061039550,114,Davide Cantoni,A74,10,626,1,982.7819331462981,98.27819331462982,55.2,C,Gossen_Prize
68,"Kondor, Peter",https://openalex.org/A5005619956,58,Péter Kondor,S03,7,113,0,687.0526494047618,98.15037848639454,55.2,C,SFI BEST PAPER AWARD
69,"Haddad, Valentin",https://openalex.org/A5010670396,50,Valentin Haddad,S01,8,270,0,775.5958665034966,96.94948331293708,54.9,C,SFI BEST PAPER AWARD
70,"Bolton, Patrick",https://openalex.org/A5102899198,409,Patrick Bolton,A41,17,1991,2,1641.123298718504,96.53666463050023,54.7,C,ERC
71,"Coibion, Olivier",https://openalex.org/A5034004951,371,Olivier Coibion,Y18,30,2371,6,2880.245467722,96.00818225740001,54.6,T,HCP
72,"Sautner, Zacharias",https://openalex.org/A5046526188,103,Zacharias Sautner,Y52,16,2736,8,1534.953361165224,95.93458507282648,54.6,T,HCP
73,"Barber, Brad M.",https://openalex.org/A5080437782,135,Brad M. Barber,MP10,9,673,2,844.3432237745586,93.81591375272873,54.0,C,Moskowitz Prize
74,"Finkelstein, Amy",https://openalex.org/A5012244489,380,Amy Finkelstein,A25,31,1512,1,2906.566807659008,93.76021960190347,53.9,C,John_Bates_Clark_Medal
75,"Murphy, Kevin M.",https://openalex.org/A5103962165,15,Kevin M. Murphy,B09,13,849,0,1204.789790500055,92.67613773077349,53.6,C,John Von Neumann Award
76,"Koren, Miklos",https://openalex.org/A5066597415,90,Miklós Koren,A52,6,574,1,555.8366127927628,92.63943546546047,53.6,C,ERC
